,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
29,30,145536,112610,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18949,102720,104631,58.8,58.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.1,58.3,75.2,5.0,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.1,4.0,4.1,6,,633630,2016,,33630.0
30,31,134139,54960,-999999999,-999999999,12027,-999999999,60437,-999999999,92320,24946,105340,62.3,61.4,-999999999.0,-999999999.0,62.6,-999999999.0,64.0,-999999999.0,63.4,60.9,73.4,3.5,4.3,-999999999.0,-999999999.0,1.6,-999999999.0,2.6,-999999999.0,3.1,4.0,3.4,6,,633980,2016,,33980.0
31,32,140164,120133,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,111099,100848,62.5,62.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.4,76.8,3.4,3.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.1,3.3,6,,634380,2016,,34380.0
32,33,116290,93648,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,69383,36277,89563,63.6,63.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.7,57.0,76.5,4.6,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.5,3.5,4.4,6,,635670,2016,,35670.0
33,34,198179,107970,-999999999,-999999999,59244,-999999999,-999999999,-999999999,34194,91384,150643,66.7,61.7,-999999999.0,-999999999.0,70.1,-999999999.0,-999999999.0,-999999999.0,72.0,61.6,81.4,2.7,3.5,-999999999.0,-999999999.0,1.3,-999999999.0,-999999999.0,-999999999.0,2.6,3.5,2.5,6,,634980,2016,,34980.0
34,35,60249,39576,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36821,43290,56.6,58.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.3,69.0,5.8,5.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.4,6.4,6,,635110,2016,,35110.0
35,36,82371,66301,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14314,57281,58377,57.0,58.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,69.7,56.3,70.2,6.7,5.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.4,6.3,4.8,6,,635600,2016,,35600.0
36,37,177246,126801,-999999999,-999999999,10994,-999999999,-999999999,-999999999,45338,110053,130747,62.7,61.3,-999999999.0,-999999999.0,62.6,-999999999.0,-999999999.0,-999999999.0,70.1,59.9,75.4,5.6,4.6,-999999999.0,-999999999.0,6.9,-999999999.0,-999999999.0,-999999999.0,6.4,5.0,5.5,6,,635830,2016,,35830.0
37,38,205226,129893,-999999999,-999999999,30301,-999999999,27221,-999999999,60114,101444,158417,67.2,65.9,-999999999.0,-999999999.0,71.2,-999999999.0,75.3,-999999999.0,73.4,63.9,79.7,3.2,3.3,-999999999.0,-999999999.0,2.6,-999999999.0,2.6,-999999999.0,2.9,3.2,3.1,6,,636390,2016,,36390.0
38,39,85090,75232,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6355,70424,58273,50.4,49.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.4,49.6,64.8,6.0,6.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,14.3,5.5,5.5,6,,636600,2016,,36600.0
39,40,119572,82421,18259,-999999999,-999999999,-999999999,7913,-999999999,57697,36158,93484,46.4,46.7,46.8,-999999999.0,-999999999.0,-999999999.0,37.1,-999999999.0,46.4,45.9,56.0,13.4,11.5,15.4,-999999999.0,-999999999.0,-999999999.0,21.1,-999999999.0,14.1,9.5,12.6,6,,636972,2016,,36972.0
40,41,391423,267769,18094,-999999999,60584,-999999999,27460,13621,232431,73124,302625,54.8,54.7,45.5,-999999999.0,54.9,-999999999.0,60.7,60.8,57.3,48.3,66.6,10.0,10.2,8.4,-999999999.0,8.7,-999999999.0,8.8,10.6,11.3,6.8,9.0,6,,638640,2016,,38640.0
41,42,97603,85958,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,81335,65278,62.5,62.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.7,76.4,4.3,4.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,4.2,6,,638790,2016,,38790.0
42,43,61209,48924,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,34975,22865,46971,54.5,53.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.3,54.4,65.0,7.4,7.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.2,5.0,7.2,6,,639930,2016,,39930.0
43,44,175273,83139,-999999999,-999999999,12105,-999999999,68519,-999999999,119953,36004,134590,58.5,55.3,-999999999.0,-999999999.0,60.3,-999999999.0,63.3,-999999999.0,61.4,51.0,71.3,5.3,6.9,-999999999.0,-999999999.0,3.3,-999999999.0,3.6,-999999999.0,5.1,6.4,5.0,6,,642480,2016,,42480.0
44,45,217047,154685,8070,-999999999,25965,-999999999,16255,-999999999,65553,110759,169739,62.6,63.2,50.5,-999999999.0,64.4,-999999999.0,62.3,-999999999.0,62.7,63.7,73.8,6.2,6.4,11.3,-999999999.0,3.4,-999999999.0,4.3,-999999999.0,8.1,5.0,5.9,6,,642510,2016,,42510.0
